game_id,genre_id
1,97
1,281
2,83
2,97
3,94
4,49
5,201
6,297
7,25
7,26
7,45
8,25
8,26
8,45
9,13
9,25
9,26
9,84
10,94
10,173
10,178
11,13
11,172
11,293
12,14
12,30
13,37
14,26
14,172
15,49
16,25
16,172
17,83
18,94
18,172
19,12
20,14
21,14
21,97
22,14
23,78
24,71
25,14
25,142
26,14
27,63
28,45
29,45
29,80
30,45
31,25
31,48
31,142
32,45
33,45
33,48
34,136
35,71
35,263
36,50
37,42
37,79
38,2
39,19
39,117
40,19
41,19
42,45
43,45
44,45
45,25
45,267
46,25
47,19
48,25
49,25
50,19
50,267
51,19
52,25
52,267
53,2
54,25
55,25
56,2
56,50
57,19
57,45
58,13
58,26
58,104
59,13
59,26
60,26
61,25
62,25
63,49
64,19
65,49
66,19
67,25
67,45
68,19
69,30
70,25
70,45
71,5
71,25
72,57
73,14
74,241
75,19
76,2
77,12
77,42
77,172
78,13
79,13
80,13
81,13
81,26
82,168
83,168
84,14
85,19
85,45
85,48
85,72
86,42
87,13
87,172
87,225
88,52
89,39
89,58
89,76
89,137
90,19
90,50
91,25
92,25
93,25
94,42
94,267
95,25
96,13
97,34
97,54
97,56
97,60
97,84
98,25
98,48
98,142
99,5
100,42
101,42
102,26
102,172
103,42
103,79
104,25
104,26
105,25
106,45
106,169
106,293
107,36
107,94
108,103
109,5
110,26
110,49
111,25
112,25
112,225
113,28
113,50
113,110
113,311
114,39
114,40
114,137
115,19
116,25
116,169
117,5
118,67
118,142
119,56
120,39
120,76
121,25
121,26
122,33
122,101
123,5
123,45
124,45
125,14
125,34
125,172
125,293
126,5
126,172
127,238
127,263
127,298
128,5
128,13
129,25
130,42
130,71
131,79
132,13
132,24
132,316
133,42
134,42
134,79
135,13
135,172
136,82
137,82
138,26
138,172
139,5
140,49
141,2
141,9
141,19
141,25
141,42
142,25
143,19
143,233
144,42
144,45
145,83
146,83
147,83
148,45
149,19
149,25
150,19
150,25
151,42
152,13
152,19
152,172
153,13
154,13
155,26
156,14
156,142
157,49
157,169
157,244
158,25
158,85
158,172
159,178
160,39
160,58
160,76
160,137
161,2
161,42
162,2
162,25
163,131
164,77
165,26
165,45
166,45
166,72
167,298
168,2
168,39
169,19
169,120
170,13
171,39
171,40
171,58
171,76
171,137
171,178
172,13
173,68
174,39
174,59
175,39
175,40
175,58
176,71
176,132
176,225
177,12
177,178
178,49
179,71
179,225
180,71
180,132
180,225
181,42
181,79
182,49
183,12
183,178
184,97
185,57
185,229
186,13
186,172
186,293
186,317
187,47
188,25
189,83
189,169
190,47
191,47
192,25
192,142
192,225
193,34
193,84
194,42
194,79
195,13
195,24
195,172
195,317
196,13
197,13
198,14
198,178
199,49
200,13
200,79
200,172
201,13
202,14
202,97
202,123
203,14
203,31
203,36
203,42
203,71
203,149
203,195
203,250
204,13
204,172
205,25
205,26
205,48
205,142
206,5
207,13
207,26
207,92
208,25
209,42
209,185
210,13
210,24
210,172
210,293
211,238
211,298
212,26
213,13
213,172
214,13
214,185
215,19
216,13
216,282
216,293
217,49
218,70
219,70
220,49
221,14
221,142
222,42
222,79
222,277
223,14
223,98
223,104
223,142
224,68
225,42
226,13
226,293
227,134
228,2
228,5
228,172
228,193
229,42
229,79
229,169
230,42
230,79
231,79
232,42
232,65
232,79
233,25
233,79
234,5
234,162
235,45
235,172
236,13
236,172
237,25
237,48
237,263
238,12
239,42
239,67
239,75
239,79
239,277
240,42
240,67
240,79
240,277
241,42
241,225
242,13
242,37
243,67
243,276
244,49
245,25
246,33
247,2
247,54
247,65
247,86
247,167
247,170
248,49
249,13
250,48
250,79
250,176
250,185
250,225
250,293
251,42
251,47
251,79
251,169
252,35
253,49
254,14
255,25
256,13
256,74
257,79
257,185
258,2
258,30
258,42
258,71
259,14
260,26
260,185
261,67
262,2
262,25
262,47
263,14
264,25
265,57
266,42
266,79
267,82
268,2
269,42
270,5
270,251
271,14
272,24
272,25
272,26
273,5
273,24
273,25
273,37
273,45
273,224
273,225
274,33
275,49
276,13
276,172
277,42
277,79
277,169
278,49
279,19
279,26
280,13
281,19
282,5
282,45
283,25
284,49
285,47
286,13
287,13
288,71
289,26
289,48
290,39
290,58
291,49
292,209
293,37
294,26
294,172
295,5
295,19
295,25
295,45
296,79
296,178
297,27
298,37
299,2
299,19
299,25
299,27
299,48
300,19
301,19
301,45
301,136
301,149
302,33
303,13
303,61
303,172
304,47
305,5
306,25
306,26
307,13
307,19
307,26
307,30
307,84
308,118
309,45
310,2
310,42
310,264
311,13
312,14
313,14
315,39
315,58
315,124
315,151
315,153
315,172
316,14
316,225
317,13
318,57
319,5
319,251
320,5
321,25
322,25
322,48
323,67
323,79
324,42
325,25
325,42
325,170
326,13
326,53
327,57
327,172
328,25
328,79
328,178
328,277
329,42
329,178
330,12
330,29
330,42
330,50
330,87
330,195
330,267
331,13
331,172
332,44
332,230
333,47
333,169
333,225
334,118
334,172
335,5
335,19
336,42
337,49
338,149
339,19
339,31
339,34
339,45
340,14
341,25
342,13
343,13
343,25
344,167
345,30
345,94
345,178
346,129
346,267
347,26
347,42
348,13
348,172
349,13
350,25
350,79
351,13
351,157
351,172
351,293
352,7
353,42
354,36
354,94
354,290
355,2
355,84
356,94
357,47
358,42
359,13
359,26
360,45
361,19
362,13
363,49
364,2
365,25
365,48
366,19
367,45
367,49
368,103
369,49
369,92
370,25
370,293
371,19
371,25
371,26
371,267
372,12
373,13
373,172
374,13
375,92
376,47
376,169
377,13
378,16
379,52
380,19
381,47
382,25
383,2
383,197
383,271
384,19
385,52
386,94
387,14
387,30
387,172
387,293
388,49
389,14
390,42
391,31
392,26
392,57
393,47
394,50
395,57
396,42
396,172
397,48
397,201
398,13
399,88
400,13
401,24
401,25
402,42
403,30
403,94
404,2
405,24
405,25
406,26
407,13
408,13
409,25
409,42
410,42
410,79
411,12
412,19
412,35
413,70
414,82
415,297
416,66
417,82
418,47
418,152
419,35
420,209
421,14
422,49
423,52
424,49
424,208
425,241
426,25
427,2
428,25
428,67
429,14
430,97
430,293
431,40
432,14
432,104
433,26
433,37
434,13
435,14
435,94
435,97
435,142
436,49
437,42
437,79
438,13
438,24
438,293
438,316
439,25
439,61
439,172
440,42
441,12
442,12
443,87
443,172
444,52
444,130
445,35
446,39
446,172
446,184
447,12
448,52
448,178
449,12
450,42
450,172
450,185
451,13
452,27
453,26
454,13
455,12
455,224
455,225
456,12
457,45
457,47
457,50
457,72
458,13
459,13
460,12
460,172
461,82
462,45
462,47
462,50
462,72
463,12
464,49
465,79
465,277
465,293
466,42
466,65
467,63
468,201
469,12
470,6
470,147
470,149
471,42
471,178
472,42
473,33
474,13
475,33
476,13
477,33
478,12
479,19
480,26
480,50
481,42
482,49
483,13
485,26
485,285
485,287
485,289
485,252
486,6
486,13
487,47
488,37
488,172
489,19
489,30
490,45
491,42
492,136
493,12
494,34
494,142
495,97
496,73
