1000,00	10,00	1.602800	0.001449		10,00	1.622000	0.004006		69,00	1.410696	0.009963									
1500,00	23,00	3.761826	0.009653		16,00	3.720125	0.009623		18,00	3.078333	0.009550									
2000,00	10,00	6.590700	0.008026		10,00	6.640900	0.008144		10,00	5.382500	0.009528									
2500,00	14,00	10.240071	0.009913		10,00	10.112800	0.004241		10,00	8.437600	0.008938									
3000,00	10,00	14.498900	0.003711		10,00	14.557000	0.007018		10,00	11.945600	0.004225									
3500,00	10,00	19.982300	0.006435		10,00	19.765600	0.003682		10,00	16.287600	0.004155									
4000,00	10,00	26.123300	0.008838		27,00	26.600222	0.009913		18,00	22.130833	0.009510									
4500,00	10,00	32.864400	0.004209		88,00	33.284557	0.009971		86,00	28.030663	0.009981									
5000,00	18,00	41.371000	0.009677		10,00	40.452300	0.003466		25,00	33.535640	0.009798									
5500,00	10,00	48.400500	0.003225		10,00	48.917100	0.002757		10,00	40.168000	0.005761									
6000,00	10,00	58.498600	0.003388		10,00	57.926000	0.002709		28,00	48.329607	0.009914									
6500,00	10,00	69.141300	0.005667		10,00	68.498100	0.006407		10,00	56.227900	0.003195									
7000,00	10,00	80.032300	0.003978		10,00	79.735200	0.005846		10,00	64.748300	0.005992									
7500,00	10,00	91.382000	0.002369		10,00	91.650000	0.003679		10,00	74.011500	0.001256									
8000,00	10,00	105.403000	0.008379		10,00	103.637400	0.004459		10,00	85.371200	0.005523									
8500,00	10,00	117.566400	0.002914		10,00	116.626500	0.002923		10,00	95.404600	0.005582									
9000,00	15,00	133.630733	0.009558		10,00	131.750800	0.002246		10,00	107.802200	0.004395									
9500,00	10,00	147.379800	0.004127		10,00	146.639000	0.005101		12,00	120.715333	0.009922									
10000,00	10,00	163.050600	0.006032		10,00	163.478700	0.005645		10,00	132.225400	0.002324									
																				
1000	#áçÄó!																			
1500	#áçÄó!																			
2000	#áçÄó!																			
2500	#áçÄó!																			
3000	#áçÄó!																			
3500	#áçÄó!																			
4000	#áçÄó!																			
4500	#áçÄó!																			
5000	#áçÄó!																			
5500																				
6000																				
6500																				
7000																				
7500																				
8000																				
8500																				
9000																				
9500																				
10000																				
